,0
0,thank
1,morning
2,take
3,presentation
4,always
5,available
6,website
7,ask
8,please
9,refer
10,disclaimer
11,page
12,firm
13,reported
14,net
15,income
16,billion
17,eps
18,record
19,revenue
20,billion
21,return
22,tangible
23,common
24,equity
25,performance
26,continues
27,strong
28,highlights
29,including
30,client
31,investment
32,assets
33,consumer
34,banking
35,strength
36,consumer
37,lending
38,businesses
39,particular
40,higher
41,origination
42,volume
43,home
44,lending
45,auto
46,healthy
47,growth
48,sales
49,outstandings
50,card
51,global
52,ib
53,fees
54,wallet
55,share
56,record
57,growth
58,ib
59,revenues
60,middle
61,market
62,asset
63,wealth
64,management
65,saw
66,record
67,aum
68,client
69,firm
70,total
71,loans
72,flat
73,includes
74,continued
75,mortgage
76,loan
77,sales
78,fc
79,sales
80,loans
81,healthy
82,growth
83,card
84,deposits
85,strength
86,across
87,wholesale
88,credit
89,performance
90,remained
91,strong
92,across
93,page
94,detail
95,third
96,quarter
97,revenue
98,billion
99,billion
100,net
101,interest
102,income
103,million
104,balance
105,sheet
106,growth
107,mix
108,partially
109,offset
110,higher
111,deposit
112,pay
113,revenue
114,billion
115,driven
116,strong
117,performance
118,across
119,fixed
120,income
121,markets
122,consumer
123,lending
124,included
125,gain
126,mortgage
127,loan
128,sales
129,approximately
130,billion
131,volume
132,expenses
133,well
134,continued
135,investments
136,partially
137,offset
138,lower
139,fdic
140,remains
141,favorable
142,credit
143,costs
144,billion
145,reflecting
146,modest
147,net
148,reserve
149,builds
150,line
151,mentioned
152,last
153,quarter
154,see
155,signs
156,deterioration
157,across
158,portfolios
159,consumer
160,onto
161,balance
162,sheet
163,capital
164,page
165,ended
166,third
167,quarter
168,ratio
169,basis
170,points
171,versus
172,last
173,firm
174,distributed
175,billion
176,capital
177,shareholders
178,quarter
179,including
180,billion
181,net
182,repurchases
183,common
184,dividend
185,per
186,page
187,look
188,businesses
189,starting
190,consumer
191,community
192,generated
193,net
194,income
195,billion
196,roe
197,continued
198,deposit
199,growth
200,total
201,loans
202,billion
203,consumer
204,business
205,banking
206,saw
207,strong
208,deposit
209,investment
210,growth
211,deposits
212,client
213,investment
214,assets
215,reflecting
216,continued
217,growth
218,across
219,physical
220,digital
221,driven
222,higher
223,nii
224,deposit
225,growth
226,margin
227,expansion
228,well
229,higher
230,noninterest
231,revenue
232,higher
233,transaction
234,even
235,though
236,deposit
237,margin
238,higher
239,surprisingly
240,basis
241,points
242,given
243,current
244,rate
245,lending
246,revenue
247,higher
248,production
249,volumes
250,margins
251,partially
252,offset
253,lower
254,nii
255,lower
256,balances
257,reflecting
258,loan
259,regards
