Quarter_Year,txt_polarity_basecase,sentence_polarity_basecase,txt_polarity_filtered_length,sentence_polarity_filtered_length,txt_polarity_filtered_lexicon,sentence_polarity_filtered_lexicon,numeric_sentiment_score_basecase,numeric_sentiment_score,EPS_Spread,Trend_Spread,Trend_Spread_Class
Q3_2019,0.126754653,0.116918642,0.118255821,0.120656279,0.181825751,0.139657726,0.69047619,0.736842105,0.23,-0.471,0
Q3_2018,0.11764909,0.090724032,0.114948786,0.090880376,0.146810488,0.165381778,0.546391753,0.540229885,0.1,2.26,1
Q4_2010,0.129579413,0.096281499,0.126805135,0.120535311,0.134581072,0.148352172,-0.25,-0.272727273,0.13,-0.217,0
Q1_2018,0.110052666,0.091594857,0.104530701,0.177765284,0.112900016,0.111207301,0.494736842,0.476190476,0.09,-0.683,0
Q4_2011,0.121473913,0.077998368,0.115891608,0.105682063,0.141011592,0.062253765,-0.3,-0.142857143,-0.02,0.056,1
Q1_2019,0.105081686,0.077084462,0.114271833,0.140599211,0.13265091,0.226062478,0.517241379,0.558441558,0.33,0.733,1
Q4_2012,0.10443016,0.081294357,0.101977042,0.07002843,0.128668886,0.112160531,0.260869565,0.391304348,0.23,-0.257,0
Q2_2005,0.11144847,0.093452718,0.109461817,0.089678573,0.145682499,0.137002596,0.403508772,0.434782609,,,1
Q4_2013,0.092798479,0.086598554,0.087118872,0.097343661,0.096908663,0.108057665,0.285714286,0.302325581,0.09,0.11,1
Q4_2015,0.121486615,0.095405677,0.124651953,0.15342479,0.129988972,0.183866133,0.215686275,0.166666667,0.07,-0.161,0
Q2_2003,0.102120603,0.076668528,0.102241711,0.111488624,0.111882599,0.138819503,0.435897436,0.566666667,,,1
Q2_2002,0.054980342,0.040703177,0.063234768,0.153777905,0.073477096,0.121364939,0.246376812,0.333333333,,,1
Q4_2014,0.10175534,0.084510263,0.102559599,0.090687307,0.114159745,0.092490032,0.384615385,0.428571429,-0.11,0.09,1
Q4_2017,0.125464616,0.10372994,0.124847746,0.153715191,0.155717697,0.187166535,0.544715447,0.564356436,0.07,-0.508,0
Q4_2016,0.155267372,0.131287744,0.151058667,0.135835137,0.187281218,0.161869225,0.685950413,0.673076923,0.29,-0.745,0
Q1_2002,0.090638084,0.07393923,0.094410149,0.200678147,0.10831044,0.215993933,-0.047619048,0,,,1
Q1_2003,0.122298451,0.09470731,0.130987937,0.155079183,0.152257295,0.230175961,-0.066666667,0.25,,,1
Q4_2008,0.135889728,0.103059583,0.137001701,0.114476506,0.140796282,0.091633873,0.6,0.5,-0.44,-0.043,0
Q4_2009,0.166993039,0.125763684,0.167439667,0.139887377,0.172195879,0.182182057,-0.6,-0.333333333,0.14,-1.152,0
Q2_2019,0.130542347,0.123346986,0.121624577,0.174164826,0.153395404,0.142069691,0.480769231,0.505376344,0.32,-0.553,0
Q2_2018,0.119614624,0.090163834,0.121374527,0.130312294,0.14091862,0.128041125,0.766990291,0.806451613,0.07,0.332,1
Q1_2005,0.155137337,0.125770577,0.16104635,0.097307995,0.182953385,0.098020066,0.506493506,0.573770492,,,1
Q1_2004,0.169163537,0.13323436,0.174152018,0.123867557,0.21104902,0.176408661,0.660377358,0.75,,,1
Q3_2004,0.15124694,0.107121749,0.15601692,0.15581496,0.198673729,0.128082226,0.216666667,0.204081633,,,1
Q3_2003,0.088469044,0.075694302,0.081865896,0.104783243,0.076111988,0.105813817,0.12,0.185185185,,,1
Q3_2002,0.039010108,0.03066829,0.024897373,0.034861708,-0.002218227,0.048141948,-0.264705882,-0.086956522,,,1
Q3_2012,0.132423119,0.098202248,0.132652788,0.104571903,0.121564185,0.137037656,-0.3,-0.2,0.23,0.283,1
Q3_2013,0.100109291,0.089901887,0.101434157,0.093001864,0.131475189,0.177027413,0.217391304,0.326315789,0.15,0.607,1
Q3_2010,0.149798375,0.106666156,0.143385456,0.125232731,0.167542191,0.128053631,0,1,0.1,-0.603,0
Q3_2011,0.130565659,0.092497502,0.119664296,0.107166609,0.145874694,0.128496508,0.161290323,0.636363636,0.09,-0.096,0
Q3_2017,0.11385584,0.088141938,0.110602705,0.127836429,0.134692802,0.157042574,0.538461538,0.578947368,0.09,0.605,1
Q3_2016,0.159909933,0.144983136,0.166016767,0.185236084,0.18965903,0.193515041,0.793103448,0.825,0.19,0.391,1
Q3_2015,0.105787892,0.094710524,0.105771101,0.105321586,0.143815834,0.203481734,0.322033898,0.386138614,-0.05,0.464,1
Q3_2014,0.102623171,0.092644856,0.104804209,0.106259008,0.116202667,0.11405674,0.513157895,0.603305785,-0.03,0.205,1
Q2_2008,0.099168495,0.079622072,0.096807537,0.110437962,0.112949414,0.06816681,0.219047619,0.5,0.1,0.244,1
Q1_2016,0.131070852,0.104988058,0.122069369,0.135816157,0.154312953,0.154723154,0.37254902,0.365853659,0.09,0.092,1
Q2_2009,0.101147818,0.087406068,0.102059394,0.113825837,0.112424569,0.142583997,-0.056603774,0.290322581,0.22,-0.619,0
Q1_2020,0.154714902,0.112710458,0.154596104,0.148419476,0.139262314,0.128794626,-0.333333333,0,-1.92,-3.277,0
